source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax
6193973067153686656,197.77173277044577,-24.33699588029127,20.697975,20.63919,20.163063,
6193961251699204224,197.26084060004067,-24.363639978328244,19.546299,19.21303,17.529814,
6193978637726178176,197.78045512940895,-24.22406133002414,20.797754,21.325005,19.710222,1.744472438487939
6193981901901174016,197.42858196540527,-24.331539583764368,20.379221,20.920862,19.649727,2.1811789656616423
6193995680156375680,197.55329569111692,-24.096101385298272,20.862736,21.436937,19.633541,0.9881345107923887
6193993923515061248,197.56284273429776,-24.136411009844508,19.306032,20.262722,18.256721,1.4302018852051572
6193986403026653312,197.27297340193536,-24.254060344036745,20.47597,20.783762,20.190487,0.5105859133321621
6193996814027742208,197.52665516610477,-24.04541446642088,20.244253,21.455605,18.954868,-1.6000721409858274
6193991380894408064,197.65018065491304,-24.161502133075725,19.872643,20.541744,19.229923,-0.09816589382785548
6193991415254146304,197.66337949695597,-24.161369803782307,18.556643,19.517508,17.597162,0.665978314596205
6193982069405144960,197.4008855500768,-24.331519823255967,18.176477,18.931692,17.296915,0.6990703459081415
6193991724491807744,197.74365941601025,-24.13271301769529,20.370356,,,0.3591310982972991
6193977435135299456,197.69570619509759,-24.250174287078938,20.294626,20.905832,19.047314,1.3026543685665872
6193992931377306112,197.64691773997998,-24.109616097164192,20.216936,22.269136,18.942747,1.8069161066474237
6193970563187509120,197.5385160629201,-24.357037472292475,20.05045,21.300053,18.848774,1.1709045160334115
6193994305767634432,197.43996756465535,-24.16113864558878,15.052871,15.459981,14.462762,0.40125218950489855
6193975029953612672,197.79774457293004,-24.273488472979196,17.099531,17.784086,16.297901,1.0801839099458088
6193993648637139200,197.50191232040794,-24.162625313621305,19.24365,20.059284,18.415667,0.20250557342113357
6193988254158171904,197.4015670014972,-24.213362631814284,19.894836,20.16006,19.259712,-0.7527924216443949
6193992690859137792,197.6748626306145,-24.10597586032585,20.267586,20.390442,19.509262,0.5950168690703006
6193977435135298944,197.7026959740968,-24.25416584931547,20.383926,21.650267,19.023403,2.2708983841655885
6193992892722930432,197.67883864967294,-24.08134311001088,19.85633,20.484266,19.0113,0.8453836687034909
6193976468767832320,197.69903289482744,-24.295440458904825,19.663658,20.69804,18.264467,-1.6400788637647397
6193991552693098880,197.71904285719341,-24.163224648667356,20.031305,20.91721,18.786543,-0.007772912918594247
6193985127421895296,197.38624673583632,-24.300413780457014,20.764269,20.949697,20.11747,1.7999135138948512
6193975373551789440,197.82768152040993,-24.25107653610058,20.024513,21.01636,18.613594,1.8619114406145365
6193975751508495360,197.69089010839943,-24.35294379018679,17.410181,17.59423,16.338078,0.42927124884078194
6193990865498332032,197.57557848967386,-24.16218901048861,19.469578,19.905418,18.789997,0.5179765847319009
6193979973461282688,197.7517349018758,-24.13822682661271,19.882044,20.762415,18.824522,-0.3464380483641975
6193986987143112960,197.3727357901344,-24.247571292153886,20.804495,,,
6193985715832139264,197.28213118713015,-24.28748042222238,20.293692,21.657318,19.055853,0.5628847239240704
6193985818912138496,197.25538243675726,-24.301091099871808,14.091003,14.428945,13.593698,1.043008352672282
6193990285678242176,197.511111297852,-24.20561718674423,19.619267,20.515266,18.721653,0.5425493774020969
6193985299220589568,197.33353388896,-24.297682693840944,20.497656,20.92779,19.718088,
6193994851228000768,197.4962627513292,-24.127087705631563,18.007212,18.700914,17.200502,0.2073153236717405
6193992480406054272,197.59668535745686,-24.126169281249524,19.841053,20.405762,19.155905,0.8186784248891406
6193994473270879104,197.48114978744204,-24.126607778720565,17.486238,18.659582,16.406876,2.248199715325074
6193992171168392192,197.6064463826363,-24.157252328007576,19.266087,19.955702,18.431211,0.7434225604892982
6193979668519091584,197.76073450358442,-24.16867985802765,19.610693,20.387135,18.477667,0.18273474134885417
6193989564123000320,197.63400333815417,-24.209536175160856,20.797651,20.754362,19.967867,-4.639028800817081
6193973105808158976,197.77423884955112,-24.33459682243159,19.704308,20.624273,18.633564,0.9339885509626891
6193991930650240512,197.69190960403506,-24.125924525091737,19.620308,20.13082,18.8484,0.36536122163339796
6193993992234541056,197.55766594159545,-24.129967988417107,19.072374,19.490334,18.343693,0.3535007011163566
6193991621412579200,197.69239823514584,-24.156644200765367,19.29304,19.837448,18.44564,-0.3786752476900216
6193985990710830592,197.25739128852302,-24.276931505721816,16.885794,17.99311,15.60248,3.7845678485010126
6193987262021263872,197.45058976357973,-24.222017259814034,11.264994,11.550532,10.83525,2.410279513939257
6193976816659905408,197.62131271045521,-24.314385644883085,19.780066,20.072575,19.214096,0.4707042693982717
6193985681472398080,197.30474216869558,-24.304415771597295,19.868137,20.930433,18.571198,1.254648069535087
6193993923515065984,197.5661099664261,-24.124717493347173,19.180237,20.83968,17.922506,1.7892049981770874
6193987124582309888,197.40744320756752,-24.222075817582493,16.401102,16.91055,15.747887,0.6881096833000764
6193975785867917056,197.6998795929638,-24.33205497567236,20.910933,21.886063,19.827822,2.3849804044836294
6193994541990355968,197.4686451258735,-24.125999530360467,19.536196,20.818964,18.395933,0.8262171467878793
6193985234795798656,197.34130450071416,-24.30994253986042,20.021584,21.447027,18.859343,-1.4634281019634323
6193987120286803968,197.40136953926614,-24.216068996843635,20.401537,20.978447,19.307703,0.7555837701047978
6193990148239289984,197.56524800048246,-24.202780480718157,16.406,17.15772,15.5658,1.363894911730284
6193976163825037440,197.7082240861075,-24.33014546048236,20.607061,21.153942,19.375488,0.26986450423890335
6193975854587396736,197.6782406688872,-24.326052250937973,20.608755,20.830137,19.545864,-0.4545954662000552
6193974892514966656,197.77819647817023,-24.279858949824476,20.920881,20.707018,19.517216,
6193979462360168576,197.75197911771306,-24.200922863307913,19.759254,18.824478,18.293337,1.4514710782610947
6193989426684781184,197.60910871638328,-24.23848091834989,18.45225,19.062027,17.753977,0.4658390614837944
6193979118762785152,197.72052453518154,-24.22281368008402,20.34248,20.913145,19.541157,-0.27974954079097164
6193994129673496832,197.50170547564798,-24.122626812670493,18.47813,19.052881,17.728989,0.4778891579063351
6193991793211289472,197.72995649437445,-24.12053483496294,18.912605,20.060822,17.759117,1.3438315084408776
6193985196141385600,197.37162514240273,-24.285607693998784,18.70742,19.280834,17.927546,-0.41745912558551007
6193993992234543232,197.54859583827056,-24.123342099026672,17.279507,17.61774,16.754045,0.387550447066974
